LOCATION,WIDTH,DEPTH,HEIGHT,X,Y,Z,AISLE,CENTERAXIS,AISLESIDE,BAY,WAREHOUSE,AREA,LEVEL
A12-4-1,48,112,50,906,1370,-30,B1,X,L,1,WARREN,A,1
A12-4-2,48,112,50,906,1370,22,B1,X,L,1,WARREN,A,2
A12-4-3,48,112,50,906,1370,74,B1,X,L,1,WARREN,A,3
A12-4-4,48,112,50,906,1370,126,B1,X,L,1,WARREN,A,4
A12-4-5,48,112,50,906,1370,178,B1,X,L,1,WARREN,A,5
A12-5-1,48,112,50,958,1370,-30,B1,X,L,1,WARREN,A,1
A12-5-2,48,112,50,958,1370,22,B1,X,L,1,WARREN,A,2
A12-5-3,48,112,50,958,1370,74,B1,X,L,1,WARREN,A,3
A12-5-4,48,112,50,958,1370,126,B1,X,L,1,WARREN,A,4
A12-5-5,48,112,50,958,1370,178,B1,X,L,1,WARREN,A,5
A13-1-1,48,112,50,750,1490,-30,B1,X,L,1,WARREN,A,1
A13-1-2,48,112,50,750,1490,22,B1,X,L,1,WARREN,A,2
A13-1-3,48,112,50,750,1490,74,B1,X,L,1,WARREN,A,3
A13-1-4,48,112,50,750,1490,126,B1,X,L,1,WARREN,A,4
A13-1-5,48,112,50,750,1490,178,B1,X,L,1,WARREN,A,5
A13-2-1,48,112,50,802,1490,-30,B1,X,L,1,WARREN,A,1
A13-2-2,48,112,50,802,1490,22,B1,X,L,1,WARREN,A,2
A13-2-3,48,112,50,802,1490,74,B1,X,L,1,WARREN,A,3
A13-2-4,48,112,50,802,1490,126,B1,X,L,1,WARREN,A,4
A13-2-5,48,112,50,802,1490,178,B1,X,L,1,WARREN,A,5
A13-3-1,48,112,50,854,1490,-30,B1,X,L,1,WARREN,A,1
A13-3-2,48,112,50,854,1490,22,B1,X,L,1,WARREN,A,2
A13-3-3,48,112,50,854,1490,74,B1,X,L,1,WARREN,A,3
A13-3-4,48,112,50,854,1490,126,B1,X,L,1,WARREN,A,4
A13-3-5,48,112,50,854,1490,178,B1,X,L,1,WARREN,A,5
A13-4-1,48,112,50,906,1490,-30,B1,X,L,1,WARREN,A,1
A13-4-2,48,112,50,906,1490,22,B1,X,L,1,WARREN,A,2
A13-4-3,48,112,50,906,1490,74,B1,X,L,1,WARREN,A,3
A13-4-4,48,112,50,906,1490,126,B1,X,L,1,WARREN,A,4
A13-4-5,48,112,50,906,1490,178,B1,X,L,1,WARREN,A,5
A13-5-1,48,112,50,958,1490,-30,B1,X,L,1,WARREN,A,1
A13-5-2,48,112,50,958,1490,22,B1,X,L,1,WARREN,A,2
A13-5-3,48,112,50,958,1490,74,B1,X,L,1,WARREN,A,3
A13-5-4,48,112,50,958,1490,126,B1,X,L,1,WARREN,A,4
A13-5-5,48,112,50,958,1490,178,B1,X,L,1,WARREN,A,5
A14-1-1,48,112,50,750,1610,-30,B1,X,L,1,WARREN,A,1
A14-1-2,48,112,50,750,1610,22,B1,X,L,1,WARREN,A,2
A14-1-3,48,112,50,750,1610,74,B1,X,L,1,WARREN,A,3
A14-1-4,48,112,50,750,1610,126,B1,X,L,1,WARREN,A,4
A14-1-5,48,112,50,750,1610,178,B1,X,L,1,WARREN,A,5
A14-2-1,48,112,50,802,1610,-30,B1,X,L,1,WARREN,A,1
A14-2-2,48,112,50,802,1610,22,B1,X,L,1,WARREN,A,2
A14-2-3,48,112,50,802,1610,74,B1,X,L,1,WARREN,A,3
A14-2-4,48,112,50,802,1610,126,B1,X,L,1,WARREN,A,4
A14-2-5,48,112,50,802,1610,178,B1,X,L,1,WARREN,A,5
A14-3-1,48,112,50,854,1610,-30,B1,X,L,1,WARREN,A,1
A14-3-2,48,112,50,854,1610,22,B1,X,L,1,WARREN,A,2
A14-3-3,48,112,50,854,1610,74,B1,X,L,1,WARREN,A,3
A14-3-4,48,112,50,854,1610,126,B1,X,L,1,WARREN,A,4
A14-3-5,48,112,50,854,1610,178,B1,X,L,1,WARREN,A,5
A14-4-1,48,112,50,906,1610,-30,B1,X,L,1,WARREN,A,1
A14-4-2,48,112,50,906,1610,22,B1,X,L,1,WARREN,A,2
A14-4-3,48,112,50,906,1610,74,B1,X,L,1,WARREN,A,3
A14-4-4,48,112,50,906,1610,126,B1,X,L,1,WARREN,A,4
A14-4-5,48,112,50,906,1610,178,B1,X,L,1,WARREN,A,5
A14-5-1,48,112,50,958,1610,-30,B1,X,L,1,WARREN,A,1
A14-5-2,48,112,50,958,1610,22,B1,X,L,1,WARREN,A,2
A14-5-3,48,112,50,958,1610,74,B1,X,L,1,WARREN,A,3
A14-5-4,48,112,50,958,1610,126,B1,X,L,1,WARREN,A,4
A14-5-5,48,112,50,958,1610,178,B1,X,L,1,WARREN,A,5
A15-1-1,48,112,50,750,1730,-30,B1,X,L,1,WARREN,A,1
A15-1-2,48,112,50,750,1730,22,B1,X,L,1,WARREN,A,2
A15-1-3,48,112,50,750,1730,74,B1,X,L,1,WARREN,A,3
A15-1-4,48,112,50,750,1730,126,B1,X,L,1,WARREN,A,4
A15-1-5,48,112,50,750,1730,178,B1,X,L,1,WARREN,A,5
A15-2-1,48,112,50,802,1730,-30,B1,X,L,1,WARREN,A,1
A15-2-2,48,112,50,802,1730,22,B1,X,L,1,WARREN,A,2
A15-2-3,48,112,50,802,1730,74,B1,X,L,1,WARREN,A,3
A15-2-4,48,112,50,802,1730,126,B1,X,L,1,WARREN,A,4
A15-2-5,48,112,50,802,1730,178,B1,X,L,1,WARREN,A,5
A15-3-1,48,112,50,854,1730,-30,B1,X,L,1,WARREN,A,1
A15-3-2,48,112,50,854,1730,22,B1,X,L,1,WARREN,A,2
A15-3-3,48,112,50,854,1730,74,B1,X,L,1,WARREN,A,3
A15-3-4,48,112,50,854,1730,126,B1,X,L,1,WARREN,A,4
A15-3-5,48,112,50,854,1730,178,B1,X,L,1,WARREN,A,5
A15-4-1,48,112,50,906,1730,-30,B1,X,L,1,WARREN,A,1
A15-4-2,48,112,50,906,1730,22,B1,X,L,1,WARREN,A,2
A15-4-3,48,112,50,906,1730,74,B1,X,L,1,WARREN,A,3
A15-4-4,48,112,50,906,1730,126,B1,X,L,1,WARREN,A,4
A15-4-5,48,112,50,906,1730,178,B1,X,L,1,WARREN,A,5
A15-5-1,48,112,50,958,1730,-30,B1,X,L,1,WARREN,A,1
A15-5-2,48,112,50,958,1730,22,B1,X,L,1,WARREN,A,2
A15-5-3,48,112,50,958,1730,74,B1,X,L,1,WARREN,A,3
A15-5-4,48,112,50,958,1730,126,B1,X,L,1,WARREN,A,4
A15-5-5,48,112,50,958,1730,178,B1,X,L,1,WARREN,A,5
A16-1-1,48,112,50,750,1850,-30,B1,X,L,1,WARREN,A,1
A16-1-2,48,112,50,750,1850,22,B1,X,L,1,WARREN,A,2
A16-1-3,48,112,50,750,1850,74,B1,X,L,1,WARREN,A,3
A16-1-4,48,112,50,750,1850,126,B1,X,L,1,WARREN,A,4
A16-1-5,48,112,50,750,1850,178,B1,X,L,1,WARREN,A,5
A16-2-1,48,112,50,802,1850,-30,B1,X,L,1,WARREN,A,1
A16-2-2,48,112,50,802,1850,22,B1,X,L,1,WARREN,A,2
A16-2-3,48,112,50,802,1850,74,B1,X,L,1,WARREN,A,3
A16-2-4,48,112,50,802,1850,126,B1,X,L,1,WARREN,A,4
A16-2-5,48,112,50,802,1850,178,B1,X,L,1,WARREN,A,5
A16-3-1,48,112,50,854,1850,-30,B1,X,L,1,WARREN,A,1
A16-3-2,48,112,50,854,1850,22,B1,X,L,1,WARREN,A,2
A16-3-3,48,112,50,854,1850,74,B1,X,L,1,WARREN,A,3
A16-3-4,48,112,50,854,1850,126,B1,X,L,1,WARREN,A,4
A16-3-5,48,112,50,854,1850,178,B1,X,L,1,WARREN,A,5
A16-4-1,48,112,50,906,1850,-30,B1,X,L,1,WARREN,A,1
A16-4-2,48,112,50,906,1850,22,B1,X,L,1,WARREN,A,2
A16-4-3,48,112,50,906,1850,74,B1,X,L,1,WARREN,A,3
A16-4-4,48,112,50,906,1850,126,B1,X,L,1,WARREN,A,4
A16-4-5,48,112,50,906,1850,178,B1,X,L,1,WARREN,A,5
A16-5-1,48,112,50,958,1850,-30,B1,X,L,1,WARREN,A,1
A16-5-2,48,112,50,958,1850,22,B1,X,L,1,WARREN,A,2
A16-5-3,48,112,50,958,1850,74,B1,X,L,1,WARREN,A,3
A16-5-4,48,112,50,958,1850,126,B1,X,L,1,WARREN,A,4
A16-5-5,48,112,50,958,1850,178,B1,X,L,1,WARREN,A,5
A17-1-1,48,112,50,750,1970,-30,B1,X,L,1,WARREN,A,1
A17-1-2,48,112,50,750,1970,22,B1,X,L,1,WARREN,A,2
A17-1-3,48,112,50,750,1970,74,B1,X,L,1,WARREN,A,3
A17-1-4,48,112,50,750,1970,126,B1,X,L,1,WARREN,A,4
A17-1-5,48,112,50,750,1970,178,B1,X,L,1,WARREN,A,5
A17-2-1,48,112,50,802,1970,-30,B1,X,L,1,WARREN,A,1
A17-2-2,48,112,50,802,1970,22,B1,X,L,1,WARREN,A,2
A17-2-3,48,112,50,802,1970,74,B1,X,L,1,WARREN,A,3
A17-2-4,48,112,50,802,1970,126,B1,X,L,1,WARREN,A,4
A17-2-5,48,112,50,802,1970,178,B1,X,L,1,WARREN,A,5
A17-3-1,48,112,50,854,1970,-30,B1,X,L,1,WARREN,A,1
A17-3-2,48,112,50,854,1970,22,B1,X,L,1,WARREN,A,2
A17-3-3,48,112,50,854,1970,74,B1,X,L,1,WARREN,A,3
A17-3-4,48,112,50,854,1970,126,B1,X,L,1,WARREN,A,4
A17-3-5,48,112,50,854,1970,178,B1,X,L,1,WARREN,A,5
A17-4-1,48,112,50,906,1970,-30,B1,X,L,1,WARREN,A,1
A17-4-2,48,112,50,906,1970,22,B1,X,L,1,WARREN,A,2
A17-4-3,48,112,50,906,1970,74,B1,X,L,1,WARREN,A,3
A17-4-4,48,112,50,906,1970,126,B1,X,L,1,WARREN,A,4
A17-4-5,48,112,50,906,1970,178,B1,X,L,1,WARREN,A,5
A17-5-1,48,112,50,958,1970,-30,B1,X,L,1,WARREN,A,1
A17-5-2,48,112,50,958,1970,22,B1,X,L,1,WARREN,A,2
A17-5-3,48,112,50,958,1970,74,B1,X,L,1,WARREN,A,3
A17-5-4,48,112,50,958,1970,126,B1,X,L,1,WARREN,A,4
A17-5-5,48,112,50,958,1970,178,B1,X,L,1,WARREN,A,5
A18-1-1,48,112,50,750,2090,-30,B1,X,L,1,WARREN,A,1
A18-1-2,48,112,50,750,2090,22,B1,X,L,1,WARREN,A,2
A18-1-3,48,112,50,750,2090,74,B1,X,L,1,WARREN,A,3
A18-1-4,48,112,50,750,2090,126,B1,X,L,1,WARREN,A,4
A18-1-5,48,112,50,750,2090,178,B1,X,L,1,WARREN,A,5
A18-2-1,48,112,50,802,2090,-30,B1,X,L,1,WARREN,A,1
A18-2-2,48,112,50,802,2090,22,B1,X,L,1,WARREN,A,2
A18-2-3,48,112,50,802,2090,74,B1,X,L,1,WARREN,A,3
A18-2-4,48,112,50,802,2090,126,B1,X,L,1,WARREN,A,4
A18-2-5,48,112,50,802,2090,178,B1,X,L,1,WARREN,A,5
A18-3-1,48,112,50,854,2090,-30,B1,X,L,1,WARREN,A,1
A18-3-2,48,112,50,854,2090,22,B1,X,L,1,WARREN,A,2
A18-3-3,48,112,50,854,2090,74,B1,X,L,1,WARREN,A,3
A18-3-4,48,112,50,854,2090,126,B1,X,L,1,WARREN,A,4
A18-3-5,48,112,50,854,2090,178,B1,X,L,1,WARREN,A,5
A18-4-1,48,112,50,906,2090,-30,B1,X,L,1,WARREN,A,1
A18-4-2,48,112,50,906,2090,22,B1,X,L,1,WARREN,A,2
A18-4-3,48,112,50,906,2090,74,B1,X,L,1,WARREN,A,3
A18-4-4,48,112,50,906,2090,126,B1,X,L,1,WARREN,A,4
A18-4-5,48,112,50,906,2090,178,B1,X,L,1,WARREN,A,5
A18-5-1,48,112,50,958,2090,-30,B1,X,L,1,WARREN,A,1
A18-5-2,48,112,50,958,2090,22,B1,X,L,1,WARREN,A,2
A18-5-3,48,112,50,958,2090,74,B1,X,L,1,WARREN,A,3
A18-5-4,48,112,50,958,2090,126,B1,X,L,1,WARREN,A,4
A18-5-5,48,112,50,958,2090,178,B1,X,L,1,WARREN,A,5
A19-1-1,48,112,50,750,2210,-30,B1,X,L,1,WARREN,A,1
A19-1-2,48,112,50,750,2210,22,B1,X,L,1,WARREN,A,2
A19-1-3,48,112,50,750,2210,74,B1,X,L,1,WARREN,A,3
A19-1-4,48,112,50,750,2210,126,B1,X,L,1,WARREN,A,4
A19-1-5,48,112,50,750,2210,178,B1,X,L,1,WARREN,A,5
A19-2-1,48,112,50,802,2210,-30,B1,X,L,1,WARREN,A,1
A19-2-2,48,112,50,802,2210,22,B1,X,L,1,WARREN,A,2
A19-2-3,48,112,50,802,2210,74,B1,X,L,1,WARREN,A,3
A19-2-4,48,112,50,802,2210,126,B1,X,L,1,WARREN,A,4
A19-2-5,48,112,50,802,2210,178,B1,X,L,1,WARREN,A,5
A19-3-1,48,112,50,854,2210,-30,B1,X,L,1,WARREN,A,1
A19-3-2,48,112,50,854,2210,22,B1,X,L,1,WARREN,A,2
A19-3-3,48,112,50,854,2210,74,B1,X,L,1,WARREN,A,3
A19-3-4,48,112,50,854,2210,126,B1,X,L,1,WARREN,A,4
A19-3-5,48,112,50,854,2210,178,B1,X,L,1,WARREN,A,5
A19-4-1,48,112,50,906,2210,-30,B1,X,L,1,WARREN,A,1
A19-4-2,48,112,50,906,2210,22,B1,X,L,1,WARREN,A,2
A19-4-3,48,112,50,906,2210,74,B1,X,L,1,WARREN,A,3
A19-4-4,48,112,50,906,2210,126,B1,X,L,1,WARREN,A,4
A19-4-5,48,112,50,906,2210,178,B1,X,L,1,WARREN,A,5
A19-5-1,48,112,50,958,2210,-30,B1,X,L,1,WARREN,A,1
A19-5-2,48,112,50,958,2210,22,B1,X,L,1,WARREN,A,2
A19-5-3,48,112,50,958,2210,74,B1,X,L,1,WARREN,A,3
A19-5-4,48,112,50,958,2210,126,B1,X,L,1,WARREN,A,4
A19-5-5,48,112,50,958,2210,178,B1,X,L,1,WARREN,A,5
A20-1-1,48,112,50,750,2330,-30,B1,X,L,1,WARREN,A,1
A20-1-2,48,112,50,750,2330,22,B1,X,L,1,WARREN,A,2
A20-1-3,48,112,50,750,2330,74,B1,X,L,1,WARREN,A,3
A20-1-4,48,112,50,750,2330,126,B1,X,L,1,WARREN,A,4
A20-1-5,48,112,50,750,2330,178,B1,X,L,1,WARREN,A,5
A20-2-1,48,112,50,802,2330,-30,B1,X,L,1,WARREN,A,1
A20-2-2,48,112,50,802,2330,22,B1,X,L,1,WARREN,A,2
A20-2-3,48,112,50,802,2330,74,B1,X,L,1,WARREN,A,3
A20-2-4,48,112,50,802,2330,126,B1,X,L,1,WARREN,A,4
A20-2-5,48,112,50,802,2330,178,B1,X,L,1,WARREN,A,5
A20-3-1,48,112,50,854,2330,-30,B1,X,L,1,WARREN,A,1
A20-3-2,48,112,50,854,2330,22,B1,X,L,1,WARREN,A,2
A20-3-3,48,112,50,854,2330,74,B1,X,L,1,WARREN,A,3
A20-3-4,48,112,50,854,2330,126,B1,X,L,1,WARREN,A,4
A20-3-5,48,112,50,854,2330,178,B1,X,L,1,WARREN,A,5
A20-4-1,48,112,50,906,2330,-30,B1,X,L,1,WARREN,A,1
A20-4-2,48,112,50,906,2330,22,B1,X,L,1,WARREN,A,2
A20-4-3,48,112,50,906,2330,74,B1,X,L,1,WARREN,A,3
A20-4-4,48,112,50,906,2330,126,B1,X,L,1,WARREN,A,4
A20-4-5,48,112,50,906,2330,178,B1,X,L,1,WARREN,A,5
A20-5-1,48,112,50,958,2330,-30,B1,X,L,1,WARREN,A,1
A20-5-2,48,112,50,958,2330,22,B1,X,L,1,WARREN,A,2
A20-5-3,48,112,50,958,2330,74,B1,X,L,1,WARREN,A,3
A20-5-4,48,112,50,958,2330,126,B1,X,L,1,WARREN,A,4
A20-5-5,48,112,50,958,2330,178,B1,X,L,1,WARREN,A,5
A21-1-1,48,112,50,750,2450,-30,B1,X,L,1,WARREN,A,1
A21-1-2,48,112,50,750,2450,22,B1,X,L,1,WARREN,A,2
A21-1-3,48,112,50,750,2450,74,B1,X,L,1,WARREN,A,3
A21-1-4,48,112,50,750,2450,126,B1,X,L,1,WARREN,A,4
A21-1-5,48,112,50,750,2450,178,B1,X,L,1,WARREN,A,5
A21-2-1,48,112,50,802,2450,-30,B1,X,L,1,WARREN,A,1
A21-2-2,48,112,50,802,2450,22,B1,X,L,1,WARREN,A,2
A21-2-3,48,112,50,802,2450,74,B1,X,L,1,WARREN,A,3
A21-2-4,48,112,50,802,2450,126,B1,X,L,1,WARREN,A,4
A21-2-5,48,112,50,802,2450,178,B1,X,L,1,WARREN,A,5
A21-3-1,48,112,50,854,2450,-30,B1,X,L,1,WARREN,A,1
A21-3-2,48,112,50,854,2450,22,B1,X,L,1,WARREN,A,2
A21-3-3,48,112,50,854,2450,74,B1,X,L,1,WARREN,A,3
A21-3-4,48,112,50,854,2450,126,B1,X,L,1,WARREN,A,4
A21-3-5,48,112,50,854,2450,178,B1,X,L,1,WARREN,A,5
A21-4-1,48,112,50,906,2450,-30,B1,X,L,1,WARREN,A,1
A21-4-2,48,112,50,906,2450,22,B1,X,L,1,WARREN,A,2
A21-4-3,48,112,50,906,2450,74,B1,X,L,1,WARREN,A,3
A21-4-4,48,112,50,906,2450,126,B1,X,L,1,WARREN,A,4
A21-4-5,48,112,50,906,2450,178,B1,X,L,1,WARREN,A,5
A21-5-1,48,112,50,958,2450,-30,B1,X,L,1,WARREN,A,1
A21-5-2,48,112,50,958,2450,22,B1,X,L,1,WARREN,A,2
A21-5-3,48,112,50,958,2450,74,B1,X,L,1,WARREN,A,3
A21-5-4,48,112,50,958,2450,126,B1,X,L,1,WARREN,A,4
A21-5-5,48,112,50,958,2450,178,B1,X,L,1,WARREN,A,5
A22-1-1,48,112,50,750,2570,-30,B1,X,L,1,WARREN,A,1
A22-1-2,48,112,50,750,2570,22,B1,X,L,1,WARREN,A,2
A22-1-3,48,112,50,750,2570,74,B1,X,L,1,WARREN,A,3
A22-1-4,48,112,50,750,2570,126,B1,X,L,1,WARREN,A,4
A22-1-5,48,112,50,750,2570,178,B1,X,L,1,WARREN,A,5
A22-2-1,48,112,50,802,2570,-30,B1,X,L,1,WARREN,A,1
A22-2-2,48,112,50,802,2570,22,B1,X,L,1,WARREN,A,2
A22-2-3,48,112,50,802,2570,74,B1,X,L,1,WARREN,A,3
A22-2-4,48,112,50,802,2570,126,B1,X,L,1,WARREN,A,4
A22-2-5,48,112,50,802,2570,178,B1,X,L,1,WARREN,A,5
A22-3-1,48,112,50,854,2570,-30,B1,X,L,1,WARREN,A,1
A22-3-2,48,112,50,854,2570,22,B1,X,L,1,WARREN,A,2
A22-3-3,48,112,50,854,2570,74,B1,X,L,1,WARREN,A,3
A22-3-4,48,112,50,854,2570,126,B1,X,L,1,WARREN,A,4
A22-3-5,48,112,50,854,2570,178,B1,X,L,1,WARREN,A,5
A22-4-1,48,112,50,906,2570,-30,B1,X,L,1,WARREN,A,1
A22-4-2,48,112,50,906,2570,22,B1,X,L,1,WARREN,A,2
A22-4-3,48,112,50,906,2570,74,B1,X,L,1,WARREN,A,3
A22-4-4,48,112,50,906,2570,126,B1,X,L,1,WARREN,A,4
A22-4-5,48,112,50,906,2570,178,B1,X,L,1,WARREN,A,5
A22-5-1,48,112,50,958,2570,-30,B1,X,L,1,WARREN,A,1
A22-5-2,48,112,50,958,2570,22,B1,X,L,1,WARREN,A,2
A22-5-3,48,112,50,958,2570,74,B1,X,L,1,WARREN,A,3
A22-5-4,48,112,50,958,2570,126,B1,X,L,1,WARREN,A,4
A22-5-5,48,112,50,958,2570,178,B1,X,L,1,WARREN,A,5
A23-1-1,48,112,50,750,2690,-30,B1,X,L,1,WARREN,A,1
A23-1-2,48,112,50,750,2690,22,B1,X,L,1,WARREN,A,2
A23-1-3,48,112,50,750,2690,74,B1,X,L,1,WARREN,A,3
A23-1-4,48,112,50,750,2690,126,B1,X,L,1,WARREN,A,4
A23-1-5,48,112,50,750,2690,178,B1,X,L,1,WARREN,A,5
A23-2-1,48,112,50,802,2690,-30,B1,X,L,1,WARREN,A,1
A23-2-2,48,112,50,802,2690,22,B1,X,L,1,WARREN,A,2
A23-2-3,48,112,50,802,2690,74,B1,X,L,1,WARREN,A,3
A23-2-4,48,112,50,802,2690,126,B1,X,L,1,WARREN,A,4
A23-2-5,48,112,50,802,2690,178,B1,X,L,1,WARREN,A,5
A23-3-1,48,112,50,854,2690,-30,B1,X,L,1,WARREN,A,1
A23-3-2,48,112,50,854,2690,22,B1,X,L,1,WARREN,A,2
A23-3-3,48,112,50,854,2690,74,B1,X,L,1,WARREN,A,3
A23-3-4,48,112,50,854,2690,126,B1,X,L,1,WARREN,A,4
A23-3-5,48,112,50,854,2690,178,B1,X,L,1,WARREN,A,5
A23-4-1,48,112,50,906,2690,-30,B1,X,L,1,WARREN,A,1
A23-4-2,48,112,50,906,2690,22,B1,X,L,1,WARREN,A,2
A23-4-3,48,112,50,906,2690,74,B1,X,L,1,WARREN,A,3
A23-4-4,48,112,50,906,2690,126,B1,X,L,1,WARREN,A,4
A23-4-5,48,112,50,906,2690,178,B1,X,L,1,WARREN,A,5
A23-5-1,48,112,50,958,2690,-30,B1,X,L,1,WARREN,A,1
A23-5-2,48,112,50,958,2690,22,B1,X,L,1,WARREN,A,2
A23-5-3,48,112,50,958,2690,74,B1,X,L,1,WARREN,A,3
A23-5-4,48,112,50,958,2690,126,B1,X,L,1,WARREN,A,4
A23-5-5,48,112,50,958,2690,178,B1,X,L,1,WARREN,A,5
A24-1-1,48,112,50,750,2810,-30,B1,X,L,1,WARREN,A,1
A24-1-2,48,112,50,750,2810,22,B1,X,L,1,WARREN,A,2
A24-1-3,48,112,50,750,2810,74,B1,X,L,1,WARREN,A,3
A24-1-4,48,112,50,750,2810,126,B1,X,L,1,WARREN,A,4
A24-1-5,48,112,50,750,2810,178,B1,X,L,1,WARREN,A,5
A24-2-1,48,112,50,802,2810,-30,B1,X,L,1,WARREN,A,1
A24-2-2,48,112,50,802,2810,22,B1,X,L,1,WARREN,A,2
A24-2-3,48,112,50,802,2810,74,B1,X,L,1,WARREN,A,3
A24-2-4,48,112,50,802,2810,126,B1,X,L,1,WARREN,A,4
A24-2-5,48,112,50,802,2810,178,B1,X,L,1,WARREN,A,5
A24-3-1,48,112,50,854,2810,-30,B1,X,L,1,WARREN,A,1
A24-3-2,48,112,50,854,2810,22,B1,X,L,1,WARREN,A,2
A24-3-3,48,112,50,854,2810,74,B1,X,L,1,WARREN,A,3
A24-3-4,48,112,50,854,2810,126,B1,X,L,1,WARREN,A,4
A24-3-5,48,112,50,854,2810,178,B1,X,L,1,WARREN,A,5
A24-4-1,48,112,50,906,2810,-30,B1,X,L,1,WARREN,A,1
A24-4-2,48,112,50,906,2810,22,B1,X,L,1,WARREN,A,2
A24-4-3,48,112,50,906,2810,74,B1,X,L,1,WARREN,A,3
A24-4-4,48,112,50,906,2810,126,B1,X,L,1,WARREN,A,4
A24-4-5,48,112,50,906,2810,178,B1,X,L,1,WARREN,A,5
A24-5-1,48,112,50,958,2810,-30,B1,X,L,1,WARREN,A,1
A24-5-2,48,112,50,958,2810,22,B1,X,L,1,WARREN,A,2
A24-5-3,48,112,50,958,2810,74,B1,X,L,1,WARREN,A,3
A24-5-4,48,112,50,958,2810,126,B1,X,L,1,WARREN,A,4
A24-5-5,48,112,50,958,2810,178,B1,X,L,1,WARREN,A,5
A25-1-1,48,112,50,750,2930,-30,B1,X,L,1,WARREN,A,1
A25-1-2,48,112,50,750,2930,22,B1,X,L,1,WARREN,A,2
A25-1-3,48,112,50,750,2930,74,B1,X,L,1,WARREN,A,3
A25-1-4,48,112,50,750,2930,126,B1,X,L,1,WARREN,A,4
A25-1-5,48,112,50,750,2930,178,B1,X,L,1,WARREN,A,5
A25-2-1,48,112,50,802,2930,-30,B1,X,L,1,WARREN,A,1
A25-2-2,48,112,50,802,2930,22,B1,X,L,1,WARREN,A,2
A25-2-3,48,112,50,802,2930,74,B1,X,L,1,WARREN,A,3
A25-2-4,48,112,50,802,2930,126,B1,X,L,1,WARREN,A,4
A25-2-5,48,112,50,802,2930,178,B1,X,L,1,WARREN,A,5
A25-3-1,48,112,50,854,2930,-30,B1,X,L,1,WARREN,A,1
A25-3-2,48,112,50,854,2930,22,B1,X,L,1,WARREN,A,2
A25-3-3,48,112,50,854,2930,74,B1,X,L,1,WARREN,A,3
A25-3-4,48,112,50,854,2930,126,B1,X,L,1,WARREN,A,4
A25-3-5,48,112,50,854,2930,178,B1,X,L,1,WARREN,A,5
A25-4-1,48,112,50,906,2930,-30,B1,X,L,1,WARREN,A,1
A25-4-2,48,112,50,906,2930,22,B1,X,L,1,WARREN,A,2
A25-4-3,48,112,50,906,2930,74,B1,X,L,1,WARREN,A,3
A25-4-4,48,112,50,906,2930,126,B1,X,L,1,WARREN,A,4
A25-4-5,48,112,50,906,2930,178,B1,X,L,1,WARREN,A,5
A25-5-1,48,112,50,958,2930,-30,B1,X,L,1,WARREN,A,1
A25-5-2,48,112,50,958,2930,22,B1,X,L,1,WARREN,A,2
A25-5-3,48,112,50,958,2930,74,B1,X,L,1,WARREN,A,3
A25-5-4,48,112,50,958,2930,126,B1,X,L,1,WARREN,A,4
A25-5-5,48,112,50,958,2930,178,B1,X,L,1,WARREN,A,5
A26-1-1,48,112,50,750,3050,-30,B1,X,L,1,WARREN,A,1
A26-1-2,48,112,50,750,3050,22,B1,X,L,1,WARREN,A,2
A26-1-3,48,112,50,750,3050,74,B1,X,L,1,WARREN,A,3
A26-1-4,48,112,50,750,3050,126,B1,X,L,1,WARREN,A,4
A26-1-5,48,112,50,750,3050,178,B1,X,L,1,WARREN,A,5
A26-2-1,48,112,50,802,3050,-30,B1,X,L,1,WARREN,A,1
A26-2-2,48,112,50,802,3050,22,B1,X,L,1,WARREN,A,2
A26-2-3,48,112,50,802,3050,74,B1,X,L,1,WARREN,A,3
A26-2-4,48,112,50,802,3050,126,B1,X,L,1,WARREN,A,4
A26-2-5,48,112,50,802,3050,178,B1,X,L,1,WARREN,A,5
A26-3-1,48,112,50,854,3050,-30,B1,X,L,1,WARREN,A,1
A26-3-2,48,112,50,854,3050,22,B1,X,L,1,WARREN,A,2
A26-3-3,48,112,50,854,3050,74,B1,X,L,1,WARREN,A,3
A26-3-4,48,112,50,854,3050,126,B1,X,L,1,WARREN,A,4
A26-3-5,48,112,50,854,3050,178,B1,X,L,1,WARREN,A,5
A26-4-1,48,112,50,906,3050,-30,B1,X,L,1,WARREN,A,1
A26-4-2,48,112,50,906,3050,22,B1,X,L,1,WARREN,A,2
A26-4-3,48,112,50,906,3050,74,B1,X,L,1,WARREN,A,3
A26-4-4,48,112,50,906,3050,126,B1,X,L,1,WARREN,A,4
A26-4-5,48,112,50,906,3050,178,B1,X,L,1,WARREN,A,5
A26-5-1,48,112,50,958,3050,-30,B1,X,L,1,WARREN,A,1
A26-5-2,48,112,50,958,3050,22,B1,X,L,1,WARREN,A,2
A26-5-3,48,112,50,958,3050,74,B1,X,L,1,WARREN,A,3
A26-5-4,48,112,50,958,3050,126,B1,X,L,1,WARREN,A,4
A26-5-5,48,112,50,958,3050,178,B1,X,L,1,WARREN,A,5
A27-1-1,48,112,50,750,3170,-30,B1,X,L,1,WARREN,A,1
A27-1-2,48,112,50,750,3170,22,B1,X,L,1,WARREN,A,2
A27-1-3,48,112,50,750,3170,74,B1,X,L,1,WARREN,A,3
A27-1-4,48,112,50,750,3170,126,B1,X,L,1,WARREN,A,4
